projectName,testName,totalStatements,testCoveredStatements,totalCoveredStatements,score,playTime,surpriseStepAdequacy,surpriseNodeAdequacy,surpriseCounterNormalised,zScore,avgUncertainty,maxUncertainty,avgDeltaUncertainty,maxDeltaUncertainty
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,59.98,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,2.0,6.840000000000001,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,2.0,6.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,2.0,4.32,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,59.8,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.59,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,1.81,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,1.7599999999999998,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,2.0,5.4,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.82,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.76,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,65,69,3.0,6.3100000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,65,69,3.0,5.96,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,2.0,5.08,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.11,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,59.92,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,2.6500000000000004,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,2.79,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,2.0,5.21,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.84,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,59.8,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,1.99,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,1.99,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,1.0,5.220000000000001,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,59.900000000000006,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.21,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,2.48,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,2.8000000000000003,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,67,69,8.0,17.01,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-16.json,69,52,69,0.0,60.67,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-16.json,69,52,69,0.0,60.83,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-16.json,69,53,69,0.0,59.78,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-16.json,69,66,69,2.0,6.78,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-16.json,69,52,69,0.0,59.690000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-16.json,69,66,69,2.0,6.35,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-16.json,69,52,69,0.0,60.69,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-16.json,69,52,69,0.0,60.84,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-16.json,69,53,69,0.0,59.68,,,,,,,,
